tumor_rad [mm],Freq [GHz],s11(dB)
3,1,-0.000313492
3,1.0475,-0.000340016
3,1.095,-0.000367854
3,1.1425,-0.000397018
3,1.19,-0.000427519
3,1.2375,-0.00045937
3,1.285,-0.000492584
3,1.3325,-0.000527175
3,1.38,-0.000563157
3,1.4275,-0.000600543
3,1.475,-0.000639351
3,1.5225,-0.000679594
3,1.57,-0.00072129
3,1.6175,-0.000764455
3,1.665,-0.000809107
3,1.7125,-0.000855264
3,1.76,-0.000902944
3,1.8075,-0.000952166
3,1.855,-0.00100295
3,1.9025,-0.001055316
3,1.95,-0.001109284
3,1.9975,-0.001164878
3,2.045,-0.001222117
3,2.0925,-0.001281026
3,2.14,-0.001341627
3,2.1875,-0.001403943
3,2.235,-0.001468
3,2.2825,-0.001533822
3,2.33,-0.001601435
3,2.3775,-0.001670866
3,2.425,-0.001742141
3,2.4725,-0.001815287
3,2.52,-0.001890334
3,2.5675,-0.001967309
3,2.615,-0.002046243
3,2.6625,-0.002127165
3,2.71,-0.002210107
3,2.7575,-0.0022951
3,2.805,-0.002382177
3,2.8525,-0.00247137
3,2.9,-0.002562713
3,2.9475,-0.00265624
3,2.995,-0.002751987
3,3.0425,-0.00284999
3,3.09,-0.002950285
3,3.1375,-0.003052909
3,3.185,-0.003157901
3,3.2325,-0.0032653
3,3.28,-0.003375146
3,3.3275,-0.003487478
3,3.375,-0.003602339
3,3.4225,-0.003719771
3,3.47,-0.003839816
3,3.5175,-0.003962519
3,3.565,-0.004087924
3,3.6125,-0.004216077
3,3.66,-0.004347024
3,3.7075,-0.004480813
3,3.755,-0.004617493
3,3.8025,-0.004757113
3,3.85,-0.004899722
3,3.8975,-0.005045372
3,3.945,-0.005194116
3,3.9925,-0.005346007
3,4.04,-0.005501098
3,4.0875,-0.005659446
3,4.135,-0.005821106
3,4.1825,-0.005986137
3,4.23,-0.006154596
3,4.2775,-0.006326543
3,4.325,-0.00650204
3,4.3725,-0.006681149
3,4.42,-0.006863932
3,4.4675,-0.007050453
3,4.515,-0.00724078
3,4.5625,-0.007434979
3,4.61,-0.007633117
3,4.6575,-0.007835266
3,4.705,-0.008041495
3,4.7525,-0.008251877
3,4.8,-0.008466486
3,4.8475,-0.008685398
3,4.895,-0.008908689
3,4.9425,-0.009136437
3,4.99,-0.009368722
3,5.0375,-0.009605626
3,5.085,-0.009847233
3,5.1325,-0.010093626
3,5.18,-0.010344893
3,5.2275,-0.010601121
3,5.275,-0.010862401
3,5.3225,-0.011128826
3,5.37,-0.011400489
3,5.4175,-0.011677486
3,5.465,-0.011959915
3,5.5125,-0.012247876
3,5.56,-0.012541472
3,5.6075,-0.012840807
3,5.655,-0.013145988
3,5.7025,-0.013457124
3,5.75,-0.013774327
3,5.7975,-0.01409771
3,5.845,-0.014427391
3,5.8925,-0.014763489
3,5.94,-0.015106126
3,5.9875,-0.015455426
3,6.035,-0.015811518
3,6.0825,-0.016174532
3,6.13,-0.016544603
3,6.1775,-0.016921867
3,6.225,-0.017306465
3,6.2725,-0.017698542
3,6.32,-0.018098245
3,6.3675,-0.018505724
3,6.415,-0.018921136
3,6.4625,-0.019344639
3,6.51,-0.019776397
3,6.5575,-0.020216577
3,6.605,-0.020665351
3,6.6525,-0.021122896
3,6.7,-0.021589392
3,6.7475,-0.022065027
3,6.795,-0.022549992
3,6.8425,-0.023044483
3,6.89,-0.023548702
3,6.9375,-0.024062859
3,6.985,-0.024587167
3,7.0325,-0.025121847
3,7.08,-0.025667125
3,7.1275,-0.026223236
3,7.175,-0.02679042
3,7.2225,-0.027368925
3,7.27,-0.027959007
3,7.3175,-0.02856093
3,7.365,-0.029174967
3,7.4125,-0.029801397
3,7.46,-0.030440511
3,7.5075,-0.031092609
3,7.555,-0.031758
3,7.6025,-0.032437002
3,7.65,-0.033129947
3,7.6975,-0.033837175
3,7.745,-0.034559041
3,7.7925,-0.035295909
3,7.84,-0.036048157
3,7.8875,-0.036816176
3,7.935,-0.037600373
3,7.9825,-0.038401166
3,8.03,-0.03921899
3,8.0775,-0.040054297
3,8.125,-0.040907553
3,8.1725,-0.041779242
3,8.22,-0.042669867
3,8.2675,-0.043579949
3,8.315,-0.044510027
3,8.3625,-0.045460664
3,8.41,-0.04643244
3,8.4575,-0.04742596
3,8.505,-0.048441851
3,8.5525,-0.049480764
3,8.6,-0.050543375
3,8.6475,-0.051630386
3,8.695,-0.052742525
3,8.7425,-0.053880551
3,8.79,-0.055045248
3,8.8375,-0.056237432
3,8.885,-0.057457953
3,8.9325,-0.058707688
3,8.98,-0.059987552
3,9.0275,-0.061298492
3,9.075,-0.062641494
3,9.1225,-0.064017577
3,9.17,-0.065427801
3,9.2175,-0.066873264
3,9.265,-0.068355104
3,9.3125,-0.069874503
3,9.36,-0.071432682
3,9.4075,-0.073030908
3,9.455,-0.074670491
3,9.5025,-0.076352786
3,9.55,-0.078079196
3,9.5975,-0.07985117
3,9.645,-0.081670204
3,9.6925,-0.083537842
3,9.74,-0.085455677
3,9.7875,-0.087425353
3,9.835,-0.089448559
3,9.8825,-0.091527037
3,9.93,-0.093662578
3,9.9775,-0.095857019
3,10.025,-0.098112249
3,10.0725,-0.100430205
3,10.12,-0.102812872
3,10.1675,-0.105262281
3,10.215,-0.10778051
3,10.2625,-0.110369683
3,10.31,-0.113031968
3,10.3575,-0.115769577
3,10.405,-0.118584763
3,10.4525,-0.12147982
3,10.5,-0.124457082
3,10.5475,-0.127518922
3,10.595,-0.130667749
3,10.6425,-0.133906009
3,10.69,-0.137236181
3,10.7375,-0.14066078
3,10.785,-0.144182354
3,10.8325,-0.147803485
3,10.88,-0.151526786
3,10.9275,-0.155354906
3,10.975,-0.159290525
3,11.0225,-0.163336362
3,11.07,-0.16749517
3,11.1175,-0.171769743
3,11.165,-0.176162916
3,11.2125,-0.180677569
3,11.26,-0.185316632
3,11.3075,-0.190083087
3,11.355,-0.194979978
3,11.4025,-0.200010411
3,11.45,-0.205177565
3,11.4975,-0.210484697
3,11.545,-0.215935149
3,11.5925,-0.221532358
3,11.64,-0.227279863
3,11.6875,-0.233181317
3,11.735,-0.239240492
3,11.7825,-0.245461292
3,11.83,-0.25184776
3,11.8775,-0.258404094
3,11.925,-0.265134649
3,11.9725,-0.272043953
3,12.02,-0.279136716
3,12.0675,-0.286417836
3,12.115,-0.293892413
3,12.1625,-0.301565756
3,12.21,-0.309443391
3,12.2575,-0.317531069
3,12.305,-0.325834773
3,12.3525,-0.334360725
3,12.4,-0.343115391
3,12.4475,-0.352105484
3,12.495,-0.361337968
3,12.5425,-0.370820062
3,12.59,-0.380559236
3,12.6375,-0.390563216
3,12.685,-0.400839977
3,12.7325,-0.41139774
3,12.78,-0.422244971
3,12.8275,-0.433390367
3,12.875,-0.444842851
3,12.9225,-0.456611562
3,12.97,-0.468705837
3,13.0175,-0.481135201
3,13.065,-0.493909349
3,13.1125,-0.507038124
3,13.16,-0.520531497
3,13.2075,-0.534399548
3,13.255,-0.548652431
3,13.3025,-0.563300355
3,13.35,-0.578353551
3,13.3975,-0.593822241
3,13.445,-0.609716605
3,13.4925,-0.626046746
3,13.54,-0.642822655
3,13.5875,-0.660054174
3,13.635,-0.677750958
3,13.6825,-0.695922438
3,13.73,-0.714577776
3,13.7775,-0.733725832
3,13.825,-0.753375115
3,13.8725,-0.773533744
3,13.92,-0.794209397
3,13.9675,-0.815409252
3,14.015,-0.837139928
3,14.0625,-0.859407392
3,14.11,-0.882216851
3,14.1575,-0.905572594
3,14.205,-0.92947776
3,14.2525,-0.953934001
3,14.3,-0.978940978
3,14.3475,-1.004495575
3,14.395,-1.030590698
3,14.4425,-1.057213371
3,14.49,-1.084341717
3,14.5375,-1.111940049
3,14.585,-1.139950806
3,14.6325,-1.168281029
3,14.68,-1.196779355
3,14.7275,-1.225196424
3,14.775,-1.253116932
3,14.8225,-1.279847208
3,14.87,-1.304252664
3,14.9175,-1.324629614
3,14.965,-1.339069514
3,15.0125,-1.347611906
3,15.06,-1.356741674
3,15.1075,-1.378787677
3,15.155,-1.418873909
3,15.2025,-1.470030292
3,15.25,-1.524055223
3,15.2975,-1.577216483
3,15.345,-1.628812911
3,15.3925,-1.679232959
3,15.44,-1.729084715
3,15.4875,-1.778934251
3,15.535,-1.829261569
3,15.5825,-1.88047744
3,15.63,-1.932951657
3,15.6775,-1.987040207
3,15.725,-2.043110075
3,15.7725,-2.101563602
3,15.82,-2.162865318
3,15.8675,-2.227575007
3,15.915,-2.296392161
3,15.9625,-2.370219648
3,16.01,-2.450259326
3,16.0575,-2.538161363
3,16.105,-2.636266064
3,16.1525,-2.748009519
3,16.2,-2.878626749
3,16.2475,-3.036399424
3,16.295,-3.23484418
3,16.3425,-3.49597447
3,16.39,-3.850128583
3,16.4375,-4.289824638
3,16.485,-4.465147241
3,16.5325,-3.603897692
3,16.58,-2.67145273
3,16.6275,-2.401608199
3,16.675,-2.426282302
3,16.7225,-2.533187729
3,16.77,-2.65941816
3,16.8175,-2.788180267
3,16.865,-2.915626846
3,16.9125,-3.041600249
3,16.96,-3.166959899
3,17.0075,-3.292789039
3,17.055,-3.420173773
3,17.1025,-3.550166532
3,17.15,-3.683813552
3,17.1975,-3.822210833
3,17.245,-3.966583833
3,17.2925,-4.118401788
3,17.34,-4.279552876
3,17.3875,-4.452631464
3,17.435,-4.641438528
3,17.4825,-4.851903427
3,17.53,-5.093877405
3,17.5775,-5.3848183
3,17.625,-5.757733678
3,17.6725,-6.278578955
3,17.72,-7.079645901
3,17.7675,-8.364806235
3,17.815,-9.930799336
3,17.8625,-10.11201996
3,17.91,-9.047946782
3,17.9575,-8.28911083
3,18.005,-7.972117718
3,18.0525,-7.916651564
3,18.1,-8.007739156
3,18.1475,-8.187554549
3,18.195,-8.427246429
3,18.2425,-8.712057991
3,18.29,-9.034362296
3,18.3375,-9.390346655
3,18.385,-9.778351519
3,18.4325,-10.19797773
3,18.48,-10.64955294
3,18.5275,-11.1337503
3,18.575,-11.65123547
3,18.6225,-12.20224374
3,18.67,-12.78598316
3,18.7175,-13.39973225
3,18.765,-14.03746594
3,18.8125,-14.68783535
3,18.86,-15.33144492
3,18.9075,-15.93782387
3,18.955,-16.46356517
3,19.0025,-16.85470727
3,19.05,-17.05692159
3,19.0975,-17.03304127
3,19.145,-16.77892599
3,19.1925,-16.3254572
3,19.24,-15.72493555
3,19.2875,-15.03283047
3,19.335,-14.29559528
3,19.3825,-13.54675983
3,19.43,-12.80814117
3,19.4775,-12.09277931
3,19.525,-11.40777908
3,19.5725,-10.75647678
3,19.62,-10.13992152
3,19.6675,-9.557830751
3,19.715,-9.00918561
3,19.7625,-8.492592822
3,19.81,-8.006499767
3,19.8575,-7.549318681
3,19.905,-7.119495248
3,19.9525,-6.71554353
3,20,-6.336060782
